"","UNIT_NAME","UNIT_TYPE","PARKNAME","pPolyID","placekey","safegraph_place_id","parent_placekey","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","naics_code","latitude","longitude"
"45","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"222-222@8g9-fb9-jd9","sg:56d7d499d70b471d913aee670cf8c5ad","","","Metcalf Bottoms","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,35.68726,-83.536695
"46","Canyonlands National Park","National Park","Canyonlands",6,"zzy-222@5qg-4gk-syv","sg:95046ff0e49740e3b01188d9cb65ef06","","","Island in the Sky Visitor Center","","","Travel Arrangement and Reservation Services","Travel Agencies",561510,38.459796,-109.820978
"47","Canyonlands National Park","National Park","Canyonlands",6,"zzy-222@5qg-72c-fpv","sg:e888f399ebec48d5b37ec1afec46dbc0","","","Horseshoe Canyon","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.448329,-110.205783
"48","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rjk-x3q","sg:9714f22dbd0835b5a77cbac20ba7d310","","","Yosemite Dog Sitter","","","Other Personal Services","Pet Care (except Veterinary) Services",812910,37.747072,-119.584519
"49","Mesa Verde National Park","National Park","Mesa Verde",47,"zzy-222@5qf-frn-rx5","sg:089166f737bd40c0bc275b28065df509","","","Far View Lodge","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,37.258212,-108.493805
"50","Yellowstone National Park","National Park","Yellowstone",2,"222-222@5wg-k4h-28v","sg:7f5f7c4de6184703aeb8f045800ade13","","","Fishing Bridge General Store","","","Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores",453220,44.564881,-110.375297
"51","Yosemite National Park","National Park","Yosemite",15,"zzy-223@5z7-rjk-m49","sg:f0ea30f278c448079f1456f628cb5e67","","","Yosemite Family Adventures","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,37.74563,-119.593558
"52","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-f9g-zzz","sg:650d93acdaf348c4b535402df176812e","","","Friendship Baptist Church Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.707921,-83.383965
"53","Zion National Park","National Park","Zion",21,"222-224@5yy-b72-gkz","sg:c3ac3d5ba9b54d64bae1d76bc617da0b","222-222@5yy-b72-gkz","sg:e92dca1b39154268aad4692b89b0d69d","Zion Natl Park Forever Project","","","Book Stores and News Dealers","Book Stores",451211,37.199978,-112.987114
"54","Shenandoah National Park","National Park","Shenandoah",38,"zzy-222@63r-rsc-psq","sg:396e29ded6ad45009ffe93a63ba980fc","","","Pinnacles Picnic Ground","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.624043,-78.342798
"55","Acadia National Park","National Park","Acadia",39,"zzy-222@64v-dxq-f75","sg:98e6c60ae47540729d9132f879804619","","","Dorr Mountain Summit","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,44.348004,-68.211814
"56","Indiana Dunes National Park","National Park","Indiana Dunes",44,"zzz-222@5pw-4dk-x3q","sg:47941999c7b645eab7ad503cb8074da5","","","Indiana Dunes State Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,41.67403,-87.021798
"57","Congaree National Park","National Park","Congaree",19,"zzw-222@8gc-gwx-2hq","sg:83ea967f91374e609cdf05d725601b43","","","Congaree National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,33.829442,-80.823972
"58","Yosemite National Park","National Park","Yosemite",15,"222-222@5z7-rjw-2c5","sg:243eef389909457eb85731f08823b607","","","Amtrak","SG_BRAND_8600ba93ae70c64076266f8c3f3aec18","Amtrak","Rail Transportation","Line-Haul Railroads",482111,37.746137,-119.574332
"59","Bryce Canyon National Park","National Park","Bryce Canyon",1,"zzy-222@5yy-84r-h89","sg:de993cfda30c4beaad33824de9548c3e","","","Bryce Canyon National Park Fire Department","","","Justice, Public Order, and Safety Activities","Fire Protection",922160,37.635192,-112.166909
"60","Grand Canyon National Park","National Park","Grand Canyon",30,"224-223@5yz-fth-qfz","sg:15a64b0472e74450a91dea0b207f6f47","224-222@5yz-fth-qfz","sg:56cd9e1113d241ecab61b9c8588142cb","Maswik Food Court","","","Restaurants and Other Eating Places","Limited-Service Restaurants",722513,36.053448,-112.144341
"61","Mount Rainier National Park","National Park","Mount Rainier",14,"zzy-222@5x3-x2f-6hq","sg:a75bf6f89cc143838f5b0a2456ec297a","","","Mt Rainier National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,46.749744,-121.812346
"62","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-223@8g9-my4-6zf","sg:b732643800864a71b81b073193ff77e9","","","Cades Cove Primitive Baptist Church Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.601991,-83.813731
"63","Capitol Reef National Park","National Park","Capitol Reef",11,"zzw-223@5yy-q7x-jn5","sg:fe33708dcfa94d4fbc4cb24faf3c524a","","","Frying Pan Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.290974,-111.26224
"64","Acadia National Park","National Park","Acadia",39,"zzy-222@64v-dvw-yjv","sg:aae7cb3390b74929951b50855789c46a","","","Desert Fire Department Station 2","","","Justice, Public Order, and Safety Activities","Fire Protection",922160,44.302927,-68.241111
"65","Sequoia National Park","National Park","Sequoia",3,"222-223@5z7-k29-4d9","sg:c74428e44b8e400fb13436df63b735c9","","","Wuksachi Lodge","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,36.609608,-118.752068
"66","Capitol Reef National Park","National Park","Capitol Reef",11,"zzy-222@5yy-qhs-7wk","sg:48f45c0e821a4da6aa66b975c380f78d","","","Fremont River Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.281941,-111.248737
"67","Glacier National Park","National Park","Glacier",24,"zzy-226@3wy-prx-td9","sg:4cfe79824dd44bfc9c9318f0c73a52e2","","","Lake McDonald Lodge","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,48.617419,-113.879136
"68","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzw-223@8g9-hdp-pjv","sg:00a59a24d644470d89890e7578561b69","","","Maddron Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.777853,-83.210993
"69","Acadia National Park","National Park","Acadia",39,"zzz-222@64w-c8g-5zz","sg:b67f67ec5caf444f84892563b95538e2","","","Goss Beach","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,44.047576,-68.639759
"70","Grand Teton National Park","National Park","Grand Teton",25,"zzy-222@5qp-ybh-9xq","sg:6a9781cc887c4de8ad8bbb01ece7fbc2","zzy-223@5qp-ybh-9xq","sg:d7f851efdbb646c4b1fef35f64f34b4e","The Trapper Grill Deadman's Bar","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,43.843357,-110.611406
"71","Grand Teton National Park","National Park","Grand Teton",25,"zzy-222@5qp-y9n-ffz","sg:e586e88ffbf54f05ab0c2d9cd406969a","zzy-223@5qp-y9n-ffz","sg:1d90c439939d4d54b306535275a1c3fd","Jenny Lake Lodge Dining Room","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,43.782745,-110.72475
"72","Big Bend National Park","National Park","Big Bend",28,"zzy-222@8t6-4vr-g8v","sg:2d3d0b691f1348b0b538a3cc89e27c9d","zzy-223@8t6-4vr-g8v","sg:f34050fa70b743dbb9f73981f4564af2","The Chisos Mountains Lodge Restaurant","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,29.270535,-103.299316
"73","Yellowstone National Park","National Park","Yellowstone",2,"zzy-222@5wg-hzm-99f","sg:66f4e29b59364c1f9cff863edf0e6b2c","","","Montana Workcare","","","Nondepository Credit Intermediation","Consumer Lending",522291,44.656767,-111.095966
"74","Everglades National Park","National Park","Everglades",33,"zzw-222@8dg-7s3-249","sg:0b3986ad13f044039ec7e7259a4cbcd8","","","Gulf Coast Visitor Center Everglades National Patk","","","Individual and Family Services","Services for the Elderly and Persons with Disabilities",624120,25.84556,-81.386758
"75","Grand Teton National Park","National Park","Grand Teton",25,"222-222@5qp-xwy-28v","sg:ae2751d812d64f66aec0e0297513b670","","","United States Postal Service (USPS)","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","Postal Service","Postal Service",491110,43.624744,-110.627753
"76","Petrified Forest National Park","National Park","Petrified Forest",35,"zzw-224@8tg-47v-j7q","sg:60967582845c431f82657d5beade5615","","","Petrified Forest National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,35.065559,-109.781656
"77","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-hdp-qpv","sg:20181568693544f9acac4494049b0128","","","Gunter Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.771379,-83.212794
"78","Joshua Tree National Park","National Park","Joshua Tree",32,"zzy-228@5z5-9f7-bc5","sg:de59ef0982fe3448b8e6823c06d03f60","","","Barker Dam Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,34.017522,-116.15919
"79","Death Valley National Park","National Park","Death Valley",43,"zzy-222@5yv-3mv-vcq","sg:dbdfb08eca5346b09a4a1acd2673f06e","","","Charcoal Kilns","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,36.246576,-117.076308
"80","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-fvw-m6k","sg:1ea8c21efd0143ada741eb6e89c15be7","","","Sallie Moore Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.673485,-83.64182
"81","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-h9c-s5z","sg:a93921b92bac4ceca49889e1a78b989b","","","O E Kerr African Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.671893,-83.072828
"82","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-fb2-nbk","sg:b6dc814e2c15472397d9bfca699b3669","","","Smoky Mountain Riding Stables","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,35.729587,-83.451728
"83","Grand Canyon National Park","National Park","Grand Canyon",30,"222-222@5yz-ftg-t35","sg:140488c9fb76419999704c258b0056e8","","","Kachina Lodge","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,36.05694,-112.1387
"84","Mammoth Cave National Park","National Park","Mammoth Cave",4,"zzy-222@5py-2rg-6kz","sg:f7f671cca2804d07baf8713c9a78fa1c","","","The Green River Grill","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,37.18601,-86.101137
"85","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-hdp-pjv","sg:6143f854fa524a649e53d3b7e09eeb92","","","O M Caton Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.777875,-83.21096
"86","Redwood National Park","National Park","Redwood",37,"zzw-222@5v8-px9-zj9","sg:725a2ae7b10c411f99c19fdb5d4f7733","","","Wilson Creek Beach","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,41.603129,-124.100427
"87","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-223@5yz-bfz-whq","sg:d5271c610ac840e5b365f6cb33c5ff4e","","","Deli in the Pines","","","Offices of Other Health Practitioners","Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,36.209499,-112.06015
"88","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-h94-66k","sg:1232688c61f64d6a9902b495b9ecd7e0","","","Robert Palmer Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.617529,-83.084291
"89","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-hdx-4d9","sg:200a2394d097494380d96d6b622fea45","","","Mack McMahan Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.776972,-83.236923
"90","Shenandoah National Park","National Park","Shenandoah",38,"zzw-222@63g-hrj-n3q","sg:150322de07f741efbc7e29c8ec9b0b2c","","","Loft Mountain Wayside & Camp Store","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.262336,-78.661297
"91","Rocky Mountain National Park","National Park","Rocky Mountain",48,"zzy-222@5q6-6zg-z2k","sg:7215f35689ff403eb91362dd7fa393fc","","","Alpine Visitors Center","","","Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores",453220,40.440934,-105.754555
"92","Yellowstone National Park","National Park","Yellowstone",2,"zzy-226@5wg-h6c-6rk","sg:5bf53a4ec76e4708ab651d9a445364e8","zzy-223@5wg-h6c-6rk","sg:8cc200c80cd94a9688c88dd03646b092","Old Faithful","","","Electric Power Generation, Transmission and Distribution","Hydroelectric Power Generation",221111,44.460468,-110.828137
"93","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-fb9-jd9","sg:fed41cfd1d1a412aaa063de8a24e4e3a","","","Evans Chapel Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.687903,-83.536977
"94","Mount Rainier National Park","National Park","Mount Rainier",14,"zzy-222@5x3-wm8-vfz","sg:776aa7f122274be3ae9212814d6448e6","","","Christine Falls","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,46.782085,-121.791296
"95","Rocky Mountain National Park","National Park","Rocky Mountain",48,"zzy-222@5q6-68z-2zf","sg:4a101b32337b489e8fd0c61572c1c970","","","Upper Beaver Meadows","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,40.37205,-105.605638
"96","Redwood National Park","National Park","Redwood",37,"zzz-222@5v8-pfk-c89","sg:f988a05a6e7e43878f49121cdfb049d9","","","Redwood National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,41.729488,-124.1322
"97","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rjk-4n5","sg:5aee46abc78242cd81fbdc14eac3b248","","","Bridalveil Falls","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,37.756583,-119.596911
"98","Shenandoah National Park","National Park","Shenandoah",38,"zzy-223@63g-jfw-vzz","sg:7fe5fe48d7a44a9eb952fd1ccea30ac2","","","McMullen Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,38.388838,-78.485486
"99","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"zzy-222@63v-c7m-gff","sg:8e3da32ad58740888051b4fccfc67653","zzz-222@63v-cns-cnq","sg:3916d65e7fa4422d86cc2703ab9c4797","Goosefeather Pond","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,41.226729,-81.584231
"100","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-223@8g9-hdp-pjv","sg:de910a1b5caa497aad3f1bdfa4d13e4f","","","Gilliland Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.777899,-83.211009
"101","Death Valley National Park","National Park","Death Valley",43,"zzy-222@5yv-587-85f","sg:09a2ad44eb034006b08bd5ceb6952288","","","Furnace Creek Ranch","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,36.450013,-116.852502
